Titulo,Pais,Duracion,Año,Director
Quiero matar a mi jefe 2 (2014),United States,1hora 48minutos,2014,"Jane Goldsmith,Jonathan McGarry,Mary Ellen Woods,Sean Anders,Shea Vargé,Todd Hallowell,Tommy Martin"
Rampage: Devastación (2018),United States,1hora 47minutos,2018,
Fuímos heroes (2002),"France, Germany, United States",2horas 19minutos,2002,"Allan Graf,Allen Kupetsky,Cate Hardman,Frank Kostenko Jr.,Nilo Otero,Randall Wallace"
Quiero matar a mi jefe (2011),United States,1hora 40minutos,2011,"Alexa Alden,Darin Rivetti,Jeremy Reisig,Seth Gordon"
Firestarter (2022),United States,1hora 34minutos,2022,"Keith Thomas,"
The Accursed (2021),United States,1hora 24minutos,2021,"Elizabeta Vidovic,Kathryn Michelle"
El Hombre del Norte (The Northman) (2022),United States,2horas 17minutos,2022,"Ben Burt,Chris McCormick,Giulia Patanè,James Harris,Paul Moran,Robert Eggers,Therese Friel"
Inframundo 3: La rebelión de los Lycans (2009),"United States, New Zealand",1hora 32minutos,2009,"Patrick Tatopoulos,"
"Najmro. Kocha, kradnie, szanuje (2021)",Poland,1hora 36minutos,2021,"Mateusz Rakowicz,"
Operation Mincemeat (2022),"United Kingdom, United States",2horas 8minutos,2022,"John Madden,"
El Exorcismo de Dios (2022),"Mexico, Venezuela, United States",1hora 29minutos,2022,"Alejandro Hidalgo,"
La Ciudad Perdida (2022),United States,1hora 51minutos,2022,"Aaron Nee,Adam Nee,Mayret Velasquez,Mike Gunther,Peter Lyons Collister,Yve Figuereo"
Atrapado por su pasado (1993),United States,2horas 24minutos,1993,"Brian De Palma,Chris Soldo,Daniel M. Stillman,Lynne Twentyman,Sam Hoffman"
Tras líneas enemigas 3 (2009),United States,1hora 34minutos,2009,"Emily Pendas,Juan Esteban Suárez,Melanie Grefe,Reynaldo Rodriguez,Tim Matheson"
Inframundo 2: Evolución (2006),"United States, Canada",1hora 46minutos,2006,"Brad Martin,Len Wiseman,Misha Bukowski,Sam Harris"
Inframundo (2003),"United States, United Kingdom, Germany, Hungary",2horas 2minutos,2003,"Brad Martin,Caroline Sax,Len Wiseman,Lucy Egerton,Mark Egerton,Tamás Vass"
GHOST IN THE SHELL: SAC_2045 SUSTAINABLE WAR (2021),Japan,1hora 58minutos,2021,"Kenji Kamiyama,Michihito Fujii,Shinji Aramaki"
Soltero en casa (2006),United States,1hora 36minutos,2006,"Tom Dey,"
Río salvaje (1994),United States,1hora 51minutos,1994,Curtis Hanson
Red de mentiras (2008),"United States, United Kingdom",2horas 8minutos,2008,"Ahmed Hatimi,Annie Penn,Gary Romolo Fiorelli,Peter Kohn,Ridley Scott,Sallie Hard,Sheila Waldron,Yann Mari Faget"
Quiero robarme a la novia (2008),"United States, United Kingdom",1hora 41minutos,2008,"Paul Weiland,"
Cita con el peligro (1987),United States,1hora 37minutos,1987,"Phil Joanou,"
One Shot: Misión De Rescate (2021),"United Kingdom, United States",1hora 37minutos,2021,"James Nunn,"
Tras líneas enemigas 2 (2006),United States,1hora 36minutos,2006,"James Dodson,"
Tras líneas enemigas (2001),United States,1hora 46minutos,2001,"Daisy Cummins,Hope Garrison,John Moore,Justin Muller,Kristine Greco,Nada Pinter,Steve M. Davison"
Pasiones Peligrosas (1992),"United Kingdom, France",1hora 51minutos,1992,"Louis Malle,"
The Twelve Chairs (1970),United States,1hora 34minutos,1970,"Mel Brooks,"
Monsters University (2013),United States,1hora 36minutos,2013,
"Monsters, Inc. (2001)",United States,1hora 32minutos,2001,"Adam Schnitzer,Bob Peterson,David Silverman,Gabriel Schlumberger,Jeremy Lasky,Jessica Donohoe,Jongo,Lee Unkrich,Louis Gonzales,Pete Docter,Shannon Wood,Tom Kim,Victoria Jaschob,Yun Shin"
Cloud Atlas: La Red Invisible (2012),"United States, Germany, Hong Kong, Singapore, China",2horas 52minutos,2012,"Caroline Veyssière,Julie Brown,Julie Heskin,Kim Whittaker,Lana Wachowski,Lilly Wachowski,Mara Fiedler,Mark Inglis,Rickie-Lee Roberts,Sebastian Fahr,Tanja Däberitz,Terry Needham,Tom Tykwer"
Una loca película de vampiros (2010),United States,1hora 22minutos,2010,"Aaron Seltzer,Jason Friedberg"
Miss March (2009),United States,1hora 29minutos,2009,"Trevor Moore,Zach Cregger"
Small Engine Repair (2021),United States,1hora 42minutos,2021,"John Pollono,"
Spree (2020),United States,1hora 33minutos,2020,"Eugene Kotlyarenko,Mark Jopling,Nick Robinson,,Teresa Cordts,Tim Wrobel"
A Mouthful of Air (2021),United States,1hora 45minutos,2021,"Amy Koppelman,"
Marmaduke (2022),United States,1hora 28minutos,2022,"Mark A.Z. Dippé,Matt Philip Whelan,Phil Nibbelink,Youngki Lee"
Tarsilinha (2022),Brazil,1hora 33minutos,2022,"Celia Catunda,Kiko Mistrorigo"
El Secreto de Jekyll & Hyde (2021),United Kingdom,1hora 25minutos,2021,"Steven Lawson,"
Along for the Ride (2022),United States,1hora 46minutos,2022,"Sofia Alvarez,"
Loin du périph (2022),France,1hora 59minutos,2022,"Louis Leterrier,"
Baby Money (2021),United States,1hora 33minutos,2021,"Luc Walpoth,Mikhael Bassilli"
Hurricane: Libre como el Viento (2021),Germany,1hora 42minutos,2021,"Lea Schmidbauer,"
Claw (2021),United States,1hora 21minutos,2021,"Gerald Rascionato,"
Digimon Adventure: La última evolución – Kizuna (2020),Japan,1hora 34minutos,2020,"Tomohisa Taguchi,"
La Cantera (2021),United States,1hora 35minutos,2021,"Miguel Barreda-Delgado,"
Fuerza antigángster (2013),United States,1hora 53minutos,2013,"Kerry Lyn McKissick,Ruben Fleischer"
Fátima: La película (2020),"United States, Portugal",1hora 53minutos,2020,"Edoardo Ferretti,Marco Pontecorvo,Martina Monicelli"
Ernest Saves Christmas (1988),United States,1hora 35minutos,1988,"John R. Cherry III,"
En un momento aún mejor (2021),Italy,1hora 53minutos,2021,"Claudio Norza,"
La última fortaleza (The Last Castle) (2001),United States,2horas 11minutos,2001,"Rod Lurie,"
El Comediante (2021),Mexico,1hora 45minutos,2021,"Carlos Cruz Suazo,Gabriel Nuncio,Rodrigo Guardiola"
"Drive, el escape (2011)",United States,1hora 41minutos,2011,"Jane Goldsmith,Nicolas Winding Refn"
Dos tipos peligrosos (2016),United States,1hora 56minutos,2016,"Julia Tasker,Luca Kouimelis,Shane Black"
Soccer Mom Madam (2021),United States,1hora 28minutos,2021,"Kevin Fair,"
Doc Hollywood (1991),United States,1hora 44minutos,1991,"J. Stephen Buck,Lucille OuYang,Lynne Twentyman,Michael Caton-Jones"
Sonic: La película (2020),"United States, Japan, Canada",1hora 40minutos,2020,"David Arnold,Eddy Santos,Gurjit Chohan,Haley Lauten,Jay Williams,Jeff Fowler,Justin Muller,Megan Schaufele,Peter Lyons Collister,Scott Catolico,Shamess Shute,Susan Lambie,Tatiana Ragsdale"
Sonic 2: La Pelicula (2022),"United States, Japan",2horas 2minutos,2022,Jeff Fowler
Diario de una pasión (2004),United States,2horas 3minutos,2004,"Melinda Taksen,Nick Cassavetes"
Song to Song (2017),United States,2horas 9minutos,2017,"Giselle Gurza Junco,Rebecca Fulton,Sebastián Silva,Terrence Malick"
Los Tipos Malos (2022),United States,1hora 40minutos,2022,"Pierre Perifel,"
Cuando el demonio llama (2020),Sweden,1hora 27minutos,2020,"Oskar Mellander,Tord Danielsson"
Yo americano (1992),United States,2horas 5minutos,1992,"Brian Whitley,Cassandra Barrere,Edward James Olmos,Richard Espinoza"
Sanctuary Population One (2018),United States,1hora 16minutos,2018,"Lilly Heart Marriott,"
Jockey (2021),United States,1hora 34minutos,2021,"Clint Bentley,"
Cuarentones (2022),Mexico,1hora 21minutos,2022,"Pietro Loprieno,"
Twist (2021),United Kingdom,1hora 32minutos,2021,"Martin Owen,"
El día que el deporte se detuvo (2021),United States,1hora 35minutos,2021,"Antoine Fuqua,"
Redeeming Love (2022),United States,2horas 14minutos,2022,"D. J. Caruso,"
Hard Luck Love Song (2021),United States,1hora 44minutos,2021,"Justin Corsbie,"
The Last Rite (2021),United Kingdom,1hora 47minutos,2021,"Leroy Kincaide,"
El último crucero (2021),United States,40minutos,2021,"Hannah Olson,"
TINA (2021),United States,1hora 58minutos,2021,"Daniel Lindsay,T.J. Martin"
Kong: La isla Calavera (2017),"United States, China",1hora 58minutos,2017,"Brian Avery Galligan,Dawn Gilliam,Erin Mast,Jordan Vogt-Roberts,Richard Graves,Spiro Razatos"
Un viaje pesado (2020),United States,1hora 26minutos,2020,"Ibrahim Yilla,Kitao Sakurai,Knia Bonds"
El campamento de mi vida (2021),United States,1hora 34minutos,2021,"Roman White,"
El amigo (2019),United States,2horas 4minutos,2019,"Colin Flaherty,Gabriela Cowperthwaite,Jean-Paul Chreky,Sarah Balboa,Sean Vawter"
Silent Retreat (2016),United States,1hora 32minutos,2016,"Ace Jordan,"
Terror En El Aire (2019),China,1hora 51minutos,2019,"Andrew Lau,"
El señor de los anillos: El retorno del rey (2003),"New Zealand, United States",3horas 22minutos,2003,"Peter Jackson,"
Soldado de Élite (The Contractor) (2022),United States,1hora 43minutos,2022,"Tarik Saleh,"
Sin Retorno (2020),United Kingdom,1hora 50minutos,2020,"Rick Roberts,"
En la misma ola (2021),Italy,1hora 39minutos,2021,"Massimiliano Camaiti,"
Agencia Secreta de Control Mágico (2021),"Russia, United States",1hora 44minutos,2021,"Alexey Tsitsilin,Dani Marcus"
El Fantasma de la Caja de Música (2018),Italy,1hora 23minutos,2018,"John Real,"
Daisy Winters (2017),United States,1hora 30minutos,2017,"Beth LaMure,"
El reloj encantado (2020),Netherlands,1hora 35minutos,2020,"Dennis Bots,"
Valan: Valle de los Ángeles (2019),Hungary,1hora 37minutos,2019,"Béla Bagota,"
El Avatar del Rey: Por la gloria (2019),China,1hora 38minutos,2019,"Shi Juansheng,"
Todo en juego (2020),Mexico,1hora 23minutos,2020,"Alfredo Marrón Santander,"
Sin hijos (2020),Mexico,1hora 35minutos,2020,"Jonathan Hernández,Roberto Fiesco"
Ambulance: Plan de huida (2022),United States,2horas 16minutos,2022,Michael Bay
"Avalancha, desastre en la montaña (2019)",China,2horas 5minutos,2019,"Daniel Lee Yan-Kong,"
Doctor Sueño (2019),United States,2horas 32minutos,2019,"Eric Brevig,Janell Sammelman,Katye Kalivoda,Meaghan F. McLaughlin,Mike Flanagan"
Psycho Granny (2019),United States,1hora 26minutos,2019,"Rebekah McKendry,"
Master Z: El legado de Ip Man (2018),"Hong Kong, China",1hora 47minutos,2018,Yuen Woo-ping
Esperando Por Siempre (2010),United States,1hora 34minutos,2010,"James Keach,"
Guerra de novias (2009),United States,1hora 29minutos,2009,"Eddie Micallef,Gary Winick,Glen Trotiner,Katri Billard"
Gaslit (2019),United States,1hora 24minutos,2019,"Colin Edward Lawrence,"
Nosotros nunca moriremos (2021),Argentina,1hora 22minutos,2021,"Eduardo Crespo,"
Driven to the Edge (2020),United States,1hora 25minutos,2020,"Chris Sivertson,"
Asesino de modelos (2019),United States,1hora 25minutos,2019,"Alejandro Contreras,Damián Romay,Juliana Maité Irizarry"
The Block Island Sound (2021),United States,1hora 43minutos,2021,"Kevin McManus,Matthew McManus"
Police (2020),"France, Belgium, China",1hora 38minutos,2020,"Anne Fontaine,"
Fortress: Sniper’s Eye (2022),United States,1hora 27minutos,2022,"Josh Sternfeld,"
¡Qué Despadre! (2022),Mexico,1hora 39minutos,2022,"Pedro Pablo Ibarra,"
Het Irritante Eiland (2019),Netherlands,1hora 20minutos,2019,"Albert Jan van Rees,"
Crush (2022),United States,1hora 32minutos,2022,"Sammi Cohen,"
Non sono un assassino (2019),Italy,1hora 50minutos,2019,"Alessandro Specchio,Andrea Zaccariello"
Rumspringa – Ein Amish in Berlin (2022),United States,1hora 42minutos,2022,"Brando Crawford,"
Cherry (2021),United States,2horas 21minutos,2021,"Anthony Russo,Chris Castaldi,Joe Russo"
Guerra de Likes (2021),Mexico,1hora 43minutos,2021,"María Ripoll,"
Vidas de papel (2021),Turkey,1hora 36minutos,2021,"Can Ulkay,"
Sin perdón (2018),Russia,1hora 50minutos,2018,"Sarik Andreasyan,"
En el Pozo (2018),Uruguay,1hora 22minutos,2018,"Bernardo Antonaccio,Rafael Antonaccio"
Instrucciones para la poligamia (2019),Argentina,1hora 36minutos,2019,"Sebastián Sarquís,"
Pecado original (2018),"United States, Paraguay",1hora 15minutos,2018,"Jean Lee,"
The Medium (2021),"Thailand, South Korea",2horas 11minutos,2021,"Banjong Pisanthanakun,Siwawut Sewatanon"
La Octava Cláusula (2022),United States,1hora 47minutos,2022,"Koko Stambuk,"
"14 jours, 12 nuits (2019)",Canada,1hora 39minutos,2019,"Jean-Philippe Duval,"
Vault (2019),United States,1hora 39minutos,2019,"Tom DeNucci,"
Pelé: El nacimiento de una leyenda (2016),United States,1hora 47minutos,2016,"Daniela Carvalho,Filipe Oliveira,Jeff Zimbalist,Michael Zimbalist,Patricia Alencastro,Pedro Barbalho"
Pelé (2021),United Kingdom,1hora 48minutos,2021,"Ben Nicholas,David Tryhorn"
Operación Varsity Blues: Fraude universitario en EE. UU. (2021),United States,1hora 40minutos,2021,"Chris Smith,"
72 Horas Después (2020),United States,1hora 27minutos,2020,"Brian Ulrich,"
S.W.A.T (2019),China,1hora 49minutos,2019,"Ding Sheng,"
Más locos que una cabra (2021),Brazil,1hora 37minutos,2021,"Tiago Almada,Vitor Brandt"
Ilusiones mortales (2021),United States,1hora 54minutos,2021,"Anna Elizabeth James,"
The Survivor (2021),"Canada, Hungary, United States",2horas 9minutos,2021,"Barry Levinson,"
Burbujas (2022),Japan,1hora 41minutos,2022,"Norihito Takahashi,Takashi Katagiri,Tetsuro Araki,"
Aileen Wuornos: Mente asesina (2021),United States,1hora 26minutos,2021,"Daniel Farrands,"
90 minutos en el cielo (2015),United States,2horas 1minuto,2015,"Michael Polish,"
Hombres de Oro (2019),Italy,1hora 53minutos,2019,"Vincenzo Alfieri,"
365 días (2020),Poland,1hora 56minutos,2020,"Barbara Bialowas,,Tomasz Mandes"
Silverton Siege (2022),South Africa,1hora 40minutos,2022,"Jr.,Mandlakayise Walter Dube"
The Mystery of Marilyn Monroe: The Unheard Tapes (2022),United States,1hora 41minutos,2022,"Emma Cooper,"
365 Days: This Day (2022),Poland,1hora 51minutos,2022,"Barbara Bialowas,"
Death of a Telemarketer (2021),United States,1hora 28minutos,2021,"Khaled Ridgeway,"
CATO (2021),Argentina,1hora 52minutos,2021,"Peta Rivero y Hornos,"
El diablo que conoces (2022),United States,1hora 56minutos,2022,"Charles Murray,"
El niño con el pijama de rayas (2008),"United Kingdom, United States",1hora 35minutos,2008,"Libbie Barr,Mark Herman"
Rabbids: La invasión – Misión a Marte (2021),United States,1hora 10minutos,2021,"Franz Kirchner,"
Joe Bell (2020),United States,1hora 33minutos,2020,"Reinaldo Marcus Green,"
La Gran Estafa (2001),United States,1hora 15minutos,2001,"Annie Welles,Basti Van Der Woude,Claire Alderton,Gary Romolo Fiorelli,Gregory Jacobs,Natalie Van Doren,Steven Soderbergh,,Trey Batchelor,William D. Robinson"
La nueva gran estafa (2004),United States,2horas 5minutos,2004,"Annie Welles,Cheyenne Corre,Dusty Dukatz,Gregory Jacobs,Lynne Martin,Paul Vallespi,Steven Soderbergh,,Trey Batchelor"
Marvel 616 El hombre araña Japonés (2021),Japan,30minutos,1978,"Koichi Takemoto,"
Ouija: la reunión (2021),United States,1hora 26minutos,2021,"Abby Joy,Israel Luna"
Bulldozer (2022),United States,1hora 23minutos,2022,"Michael Lazar,"
La masacre de Texas 2 (1986),United States,1hora 41minutos,1986,Tobe Hooper
